MonitoringLocationName,MonitoringLocationID,ActivityType,ActivityMediaName,ActivityStartDate,CharacteristicName,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType
Lake Ontario,35,Field Msr/Obs,Surface Water,2022-04-26,"Temperature, water",,6,deg C,Actual
Lake Ontario,35,Field Msr/Obs,Surface Water,2023-04-14,"Temperature, water",,6,deg C,Actual
Lake Erie,965,Field Msr/Obs,Surface Water,2022-08-19,"Temperature, water",,24,deg C,Actual
Lake Erie,965,Field Msr/Obs,Surface Water,2023-05-16,"Temperature, water",,13,deg C,Actual
Lake Erie,965,Field Msr/Obs,Surface Water,2024-08-13,"Temperature, water",,24.8,deg C,Actual
Lake Erie,445,Field Msr/Obs,Surface Water,2022-08-15,"Temperature, water",,24,deg C,Actual
Lake Erie,445,Field Msr/Obs,Surface Water,2023-05-11,"Temperature, water",,9.5,deg C,Actual
Lake Erie,445,Field Msr/Obs,Surface Water,2024-08-21,"Temperature, water",,22,deg C,Actual
Lake Huron,83,Field Msr/Obs,Surface Water,2022-09-15,"Temperature, water",,19,deg C,Actual
Lake Huron,83,Field Msr/Obs,Surface Water,2022-06-04,"Temperature, water",,6.5,deg C,Actual
Lake Huron,83,Field Msr/Obs,Surface Water,2024-09-06,"Temperature, water",,18,deg C,Actual
Lake Ontario,29,Field Msr/Obs,Surface Water,2022-04-20,"Temperature, water",,5.5,deg C,Actual
Lake Erie,971,Field Msr/Obs,Surface Water,2022-08-20,"Temperature, water",,24,deg C,Actual
Lake Erie,971,Field Msr/Obs,Surface Water,2023-05-16,"Temperature, water",,14,deg C,Actual
Lake Erie,971,Field Msr/Obs,Surface Water,2024-08-14,"Temperature, water",,23,deg C,Actual
Lake Erie,971,Field Msr/Obs,Surface Water,2024-04-17,"Temperature, water",,9.31,deg C,Actual
Lake Ontario,21,Field Msr/Obs,Surface Water,2022-04-26,"Temperature, water",,7,deg C,Actual
Lake Ontario,21,Field Msr/Obs,Surface Water,2023-04-14,"Temperature, water",,6,deg C,Actual
Lake Ontario,60,Field Msr/Obs,Surface Water,2022-04-24,"Temperature, water",,4,deg C,Actual
Lake Ontario,60,Field Msr/Obs,Surface Water,2023-04-15,"Temperature, water",,3,deg C,Actual
Lake Ontario,43,Field Msr/Obs,Surface Water,2022-04-21,"Temperature, water",,5.5,deg C,Actual
Lake Ontario,43,Field Msr/Obs,Surface Water,2023-04-17,"Temperature, water",,6,deg C,Actual
Lake Ontario,62,Field Msr/Obs,Surface Water,2023-04-17,"Temperature, water",,6.5,deg C,Actual
Lake Huron,89,Field Msr/Obs,Surface Water,2022-09-15,"Temperature, water",,19.5,deg C,Actual
Lake Huron,89,Field Msr/Obs,Surface Water,2024-09-06,"Temperature, water",,19,deg C,Actual
Lake Ontario,47,Field Msr/Obs,Surface Water,2022-04-22,"Temperature, water",,4.5,deg C,Actual
Lake Ontario,47,Field Msr/Obs,Surface Water,2023-04-17,"Temperature, water",,6.75,deg C,Actual
Lake Huron,76,Field Msr/Obs,Surface Water,2022-09-15,"Temperature, water",,17.9,deg C,Actual
Lake Huron,76,Field Msr/Obs,Surface Water,2024-09-06,"Temperature, water",,18,deg C,Actual
Lake Ontario,42,Field Msr/Obs,Surface Water,2022-04-21,"Temperature, water",,3,deg C,Actual
Lake Ontario,42,Field Msr/Obs,Surface Water,2023-04-17,"Temperature, water",,4,deg C,Actual
Georgian Bay,12,Field Msr/Obs,Surface Water,2022-09-13,"Temperature, water",,20.5,deg C,Actual
Georgian Bay,12,Field Msr/Obs,Surface Water,2024-09-08,"Temperature, water",,18.5,deg C,Actual
Lake Superior,115,Field Msr/Obs,Surface Water,2024-09-15,"Temperature, water",,17,deg C,Actual
Lake Huron,13,Field Msr/Obs,Surface Water,2022-05-31,"Temperature, water",,11.5,deg C,Actual
Lake Huron,13,Field Msr/Obs,Surface Water,2022-09-20,"Temperature, water",,21,deg C,Actual
Lake Huron,13,Field Msr/Obs,Surface Water,2024-08-27,"Temperature, water",,22.5,deg C,Actual
Lake Ontario,27,Field Msr/Obs,Surface Water,2022-04-20,"Temperature, water",,3.6,deg C,Actual
Lake Ontario,75,Field Msr/Obs,Surface Water,2022-04-23,"Temperature, water",,5.5,deg C,Actual
Lake Ontario,75,Field Msr/Obs,Surface Water,2023-04-16,"Temperature, water",,10,deg C,Actual
Georgian Bay,1,Field Msr/Obs,Surface Water,2022-06-06,"Temperature, water",,7.5,deg C,Actual
Georgian Bay,1,Field Msr/Obs,Surface Water,2022-09-13,"Temperature, water",,20.3,deg C,Actual
Georgian Bay,1,Field Msr/Obs,Surface Water,2024-09-08,"Temperature, water",,19.5,deg C,Actual
Lake Huron,12,Field Msr/Obs,Surface Water,2022-09-21,"Temperature, water",,21,deg C,Actual
Lake Huron,12,Field Msr/Obs,Surface Water,2024-08-30,"Temperature, water",,21.5,deg C,Actual
Lake Superior,212,Field Msr/Obs,Surface Water,2024-06-12,"Temperature, water",,12,deg C,Actual
Lake Superior,212,Field Msr/Obs,Surface Water,2024-09-18,"Temperature, water",,17.5,deg C,Actual
Lake Erie,888,Field Msr/Obs,Surface Water,2022-08-18,"Temperature, water",,24.5,deg C,Actual
Lake Erie,888,Field Msr/Obs,Surface Water,2023-05-19,"Temperature, water",,10.5,deg C,Actual
Lake Erie,888,Field Msr/Obs,Surface Water,2024-08-23,"Temperature, water",,22.5,deg C,Actual
Lake Erie,888,Field Msr/Obs,Surface Water,2024-04-18,"Temperature, water",,6.25,deg C,Actual
Lake Erie,941,Field Msr/Obs,Surface Water,2022-08-16,"Temperature, water",,24,deg C,Actual
Lake Erie,941,Field Msr/Obs,Surface Water,2023-05-09,"Temperature, water",,10,deg C,Actual
Lake Erie,941,Field Msr/Obs,Surface Water,2024-08-22,"Temperature, water",,22,deg C,Actual
Lake Huron,48,Field Msr/Obs,Surface Water,2022-09-18,"Temperature, water",,19,deg C,Actual
Lake Huron,48,Field Msr/Obs,Surface Water,2022-06-07,"Temperature, water",,3.5,deg C,Actual
Lake Huron,48,Field Msr/Obs,Surface Water,2024-08-29,"Temperature, water",,19,deg C,Actual
Lake Huron,5,Field Msr/Obs,Surface Water,2022-09-21,"Temperature, water",,21,deg C,Actual
Lake Huron,5,Field Msr/Obs,Surface Water,2024-08-28,"Temperature, water",,21.5,deg C,Actual
Lake Ontario,58,Field Msr/Obs,Surface Water,2022-04-24,"Temperature, water",,3.5,deg C,Actual
Lake Ontario,58,Field Msr/Obs,Surface Water,2023-04-15,"Temperature, water",,4,deg C,Actual
Lake Huron,84,Field Msr/Obs,Surface Water,2022-09-15,"Temperature, water",,19,deg C,Actual
Lake Huron,84,Field Msr/Obs,Surface Water,2022-06-04,"Temperature, water",,9,deg C,Actual
Lake Huron,84,Field Msr/Obs,Surface Water,2024-09-05,"Temperature, water",,17.5,deg C,Actual
Lake Superior,189,Field Msr/Obs,Surface Water,2024-09-17,"Temperature, water",,19,deg C,Actual
Lake Superior,189,Field Msr/Obs,Surface Water,2024-06-11,"Temperature, water",,8.5,deg C,Actual
Lake Erie,950,Field Msr/Obs,Surface Water,2022-08-17,"Temperature, water",,23,deg C,Actual
Lake Huron,23,Field Msr/Obs,Surface Water,2022-06-01,"Temperature, water",,11,deg C,Actual
Lake Huron,23,Field Msr/Obs,Surface Water,2022-09-19,"Temperature, water",,17.5,deg C,Actual
Lake Huron,23,Field Msr/Obs,Surface Water,2024-08-27,"Temperature, water",,21,deg C,Actual
Lake Erie,952,Field Msr/Obs,Surface Water,2022-08-18,"Temperature, water",,22.5,deg C,Actual
Lake Erie,952,Field Msr/Obs,Surface Water,2023-05-12,"Temperature, water",,10,deg C,Actual
Lake Huron,96,Field Msr/Obs,Surface Water,2022-09-20,"Temperature, water",,20,deg C,Actual
Lake Huron,96,Field Msr/Obs,Surface Water,2024-08-27,"Temperature, water",,22,deg C,Actual
Lake Ontario,726,Field Msr/Obs,Surface Water,2022-04-20,"Temperature, water",,6.5,deg C,Actual
Lake Ontario,726,Field Msr/Obs,Surface Water,2023-04-18,"Temperature, water",,9,deg C,Actual
Lake Erie,947,Field Msr/Obs,Surface Water,2022-08-17,"Temperature, water",,23.8,deg C,Actual
Lake Erie,947,Field Msr/Obs,Surface Water,2023-05-11,"Temperature, water",,11,deg C,Actual
Lake Erie,947,Field Msr/Obs,Surface Water,2024-08-22,"Temperature, water",,22.5,deg C,Actual
Lake Ontario,89,Field Msr/Obs,Surface Water,2022-04-23,"Temperature, water",,3.5,deg C,Actual
Lake Ontario,89,Field Msr/Obs,Surface Water,2023-04-16,"Temperature, water",,4.5,deg C,Actual
Lake Huron,60,Field Msr/Obs,Surface Water,2022-09-16,"Temperature, water",,18.2,deg C,Actual
Lake Huron,60,Field Msr/Obs,Surface Water,2024-09-06,"Temperature, water",,15,deg C,Actual
Lake Ontario,25,Field Msr/Obs,Surface Water,2022-04-20,"Temperature, water",,3.5,deg C,Actual
Lake Huron,11,Field Msr/Obs,Surface Water,2022-09-21,"Temperature, water",,21,deg C,Actual
Lake Huron,11,Field Msr/Obs,Surface Water,2024-08-28,"Temperature, water",,22,deg C,Actual
Lake Ontario,67,Field Msr/Obs,Surface Water,2022-04-24,"Temperature, water",,3.5,deg C,Actual
