Monitoring Location Latitude,Monitoring Location Longitude
42.849,-78.941
43.297,-79.005
42.259,-79.833
41.692,-81.442
42.11,-81.575
41.936,-81.654
42.281,-81.671
41.525,-81.708
41.683,-81.742
41.7883,-81.945
41.965,-82.0417
42.1,-82.183
41.908,-82.183
41.717,-82.183
41.5,-82.5
41.8,-82.6
41.983,-82.625
41.519,-82.641
41.892,-82.667
41.742,-82.733
41.8408,-82.9167
41.685,-82.9333
41.825,-82.975
41.725,-83.15
43.95,-76.175
43.935,-76.232
43.633,-76.288
43.843,-76.355
44.083,-76.407
43.957,-76.408
43.698,-76.417
43.588,-76.417
43.75,-76.518
44.075,-76.522
43.55,-76.525
43.477,-76.527
44.142,-76.61
43.542,-76.618
44.017,-76.672
43.607,-76.713
43.53,-76.732
43.887,-76.733
43.408,-76.795
44.067,-76.812
44.136,-76.825
43.333,-76.84
43.423,-76.883
43.525,-76.927
43.88,-77
43.313,-77.001
43.732,-77.017
43.787,-77.158
43.58,-77.2
43.325,-77.217
43.382,-77.298
43.772,-77.438
43.443,-77.438
43.328,-77.438
43.36,-77.515
43.298,-77.518
43.413,-77.575
43.952,-77.588
43.275,-77.592
43.433,-77.712
43.35,-77.712
43.82,-77.783
43.383,-77.99
43.487,-78
43.59,-78.012
43.717,-78.027
43.84,-78.038
43.95,-78.05
43.92,-78.307
43.392,-78.37
43.492,-78.387
43.783,-78.438
43.887,-78.46
43.83,-78.662
43.36,-78.73
43.462,-78.76
43.597,-78.802
43.327,-78.868
43.83,-78.87
43.6,-78.9
42.849,-78.941
43.703,-78.957
43.297,-79.005
43.608,-79.017
43.37,-79.067
43.75,-79.083
43.6,-79.1
43.3,-79.1
43.3,-79.12
43.44,-79.128
43.255,-79.195
43.338,-79.197
43.6,-79.2
43.3,-79.2
42.791,-79.208
43.668,-79.267
43.225,-79.272
43.303,-79.278
43.383,-79.285
43.503,-79.353
43.272,-79.36
43.638,-79.362
43.632,-79.379
42.817,-79.383
43.587,-79.395
43.6,-79.4
43.417,-79.4
43.3,-79.4
42.475,-79.409
43.317,-79.443
43.223,-79.447
43.623,-79.453
42.591,-79.466
43.393,-79.487
43.547,-79.488
43.3,-79.5
42.708,-79.508
43.467,-79.53
42.766,-79.556
42.811,-79.565
42.825,-79.567
42.845,-79.575
42.538,-79.617
43.268,-79.62
43.425,-79.658
43.34,-79.665
42.68,-79.6917
42.8,-79.7
43.313,-79.752
43.286,-79.794
43.305,-79.815
42.442,-79.833
42.325,-79.833
42.259,-79.833
43.287,-79.843
43.281,-79.873
42.507,-79.9
42.4,-79.9
42.567,-79.917
42.5833,-79.9217
42.767,-79.967
44.872,-79.968
42.634,-80.059
45.325,-80.117
44.953,-80.149
44.646,-80.167
42.7,-80.2
42.4,-80.2
44.797,-80.243
42.717,-80.25
45.167,-80.297
45.1,-80.3
44.8,-80.3
44.737,-80.435
45.354,-80.487
45.4,-80.6
45.1,-80.6
44.8,-80.6
44.921,-80.606
44.725,-80.617
42.575,-80.642
