MonitoringLocationName,MonitoringLocationID,MonitoringLocationLatitude,MonitoringLocationLongitude,ActivityStartDate,CharacteristicName,ResultValue,ResultUnit
Lake Ontario,35,43.36,-78.73,2022-04-26,Dissolved oxygen (DO),None,mg/L
Lake Ontario,35,43.36,-78.73,2022-04-26,pH,8.2,None
Lake Ontario,35,43.36,-78.73,2022-04-26,Total suspended solids,0.5,mg/L
Lake Ontario,35,43.36,-78.73,2022-04-26,Chloride,23.6,mg/L
Lake Ontario,35,43.36,-78.73,2023-04-14,Dissolved oxygen (DO),12.18,mg/L
Lake Ontario,35,43.36,-78.73,2023-04-14,Chloride,17.8,mg/L
Lake Ontario,35,43.36,-78.73,2023-04-14,pH,8.17,None
Lake Ontario,35,43.36,-78.73,2023-04-14,Total suspended solids,3.3,mg/L
Lake Erie,965,41.5,-82.5,2022-08-19,pH,8.58,None
Lake Erie,965,41.5,-82.5,2022-08-19,Total suspended solids,2.1,mg/L
Lake Erie,965,41.5,-82.5,2022-08-19,Chloride,15.7,mg/L
Lake Erie,965,41.5,-82.5,2022-08-19,Dissolved oxygen (DO),8.78,mg/L
Lake Erie,965,41.5,-82.5,2023-05-16,Total suspended solids,6.5,mg/L
Lake Erie,965,41.5,-82.5,2023-05-16,pH,8.65,None
Lake Erie,965,41.5,-82.5,2023-05-16,Dissolved oxygen (DO),11.26,mg/L
Lake Erie,965,41.5,-82.5,2023-05-16,Chloride,20.9,mg/L
Lake Erie,965,41.5,-82.5,2024-08-13,Total suspended solids,3.6,mg/L
Lake Erie,965,41.5,-82.5,2024-08-13,Total suspended solids,3.2,mg/L
Lake Erie,965,41.5,-82.5,2024-08-13,Dissolved oxygen (DO),9.1,mg/L
Lake Erie,965,41.5,-82.5,2024-08-13,Chloride,14.7,mg/L
Lake Erie,965,41.5,-82.5,2024-08-13,Chloride,14.7,mg/L
Lake Erie,965,41.5,-82.5,2024-08-13,pH,8.63,None
Lake Erie,965,41.5,-82.5,2024-08-13,pH,8.57,None
Lake Erie,965,41.5,-82.5,2024-08-13,Dissolved oxygen (DO),8.99,mg/L
Lake Erie,445,42.8,-79.7,2022-08-15,Dissolved oxygen (DO),8.57,mg/L
Lake Erie,445,42.8,-79.7,2022-08-15,Chloride,16.3,mg/L
Lake Erie,445,42.8,-79.7,2022-08-15,pH,8.46,None
Lake Erie,445,42.8,-79.7,2022-08-15,Total suspended solids,0.63,mg/L
Lake Erie,445,42.8,-79.7,2023-05-11,Chloride,17.9,mg/L
Lake Erie,445,42.8,-79.7,2023-05-11,pH,8.33,None
Lake Erie,445,42.8,-79.7,2023-05-11,Total suspended solids,1.2,mg/L
Lake Erie,445,42.8,-79.7,2023-05-11,Dissolved oxygen (DO),11.01,mg/L
Lake Erie,445,42.8,-79.7,2024-08-21,pH,8.4,None
Lake Erie,445,42.8,-79.7,2024-08-21,Dissolved oxygen (DO),8.11,mg/L
Lake Erie,445,42.8,-79.7,2024-08-21,Chloride,15.5,mg/L
Lake Erie,445,42.8,-79.7,2024-08-21,Total suspended solids,1.8,mg/L
Lake Huron,83,46,-82.55,2022-09-15,Total suspended solids,0.8,mg/L
Lake Huron,83,46,-82.55,2022-09-15,Chloride,6.03,mg/L
Lake Huron,83,46,-82.55,2022-06-04,pH,8.08,None
Lake Huron,83,46,-82.55,2022-09-15,pH,8.28,None
Lake Huron,83,46,-82.55,2022-06-04,Dissolved oxygen (DO),11.31,mg/L
Lake Huron,83,46,-82.55,2022-09-15,Dissolved oxygen (DO),9.01,mg/L
Lake Huron,83,46,-82.55,2022-06-04,Total suspended solids,0.4,mg/L
Lake Huron,83,46,-82.55,2022-06-04,Chloride,6.03,mg/L
Lake Huron,83,46,-82.55,2024-09-06,Chloride,6.22,mg/L
Lake Huron,83,46,-82.55,2024-09-06,Total suspended solids,0.8,mg/L
Lake Huron,83,46,-82.55,2024-09-06,pH,8.14,None
Lake Huron,83,46,-82.55,2024-09-06,Dissolved oxygen (DO),9.3,mg/L
Lake Ontario,29,43.83,-78.87,2022-04-20,Chloride,27.7,mg/L
Lake Ontario,29,43.83,-78.87,2022-04-20,Dissolved oxygen (DO),11.44,mg/L
Lake Ontario,29,43.83,-78.87,2022-04-20,Total suspended solids,0.3,mg/L
Lake Ontario,29,43.83,-78.87,2022-04-20,pH,8.25,None
Lake Erie,971,41.95,-83.05,2022-08-20,Total suspended solids,3.4,mg/L
Lake Erie,971,41.95,-83.05,2022-08-20,pH,8.64,None
Lake Erie,971,41.95,-83.05,2022-08-20,Dissolved oxygen (DO),8.81,mg/L
Lake Erie,971,41.95,-83.05,2022-08-20,Chloride,9.99,mg/L
Lake Erie,971,41.95,-83.05,2023-05-16,Dissolved oxygen (DO),10.1,mg/L
Lake Erie,971,41.95,-83.05,2023-05-16,Chloride,14,mg/L
Lake Erie,971,41.95,-83.05,2023-05-16,pH,8.39,None
Lake Erie,971,41.95,-83.05,2023-05-16,Total suspended solids,5.8,mg/L
Lake Erie,971,41.95,-83.05,2024-08-14,Total suspended solids,3.4,mg/L
Lake Erie,971,41.95,-83.05,2024-08-14,pH,8.62,None
Lake Erie,971,41.95,-83.05,2024-08-14,Chloride,11.5,mg/L
Lake Erie,971,41.95,-83.05,2024-04-17,Total suspended solids,22.3,mg/L
Lake Erie,971,41.95,-83.05,2024-08-14,Dissolved oxygen (DO),8.75,mg/L
Lake Erie,971,41.95,-83.05,2024-04-17,Chloride,8.84,mg/L
Lake Ontario,21,43.3,-79.12,2022-04-26,pH,8.22,None
Lake Ontario,21,43.3,-79.12,2022-04-26,Dissolved oxygen (DO),12.11,mg/L
Lake Ontario,21,43.3,-79.12,2022-04-26,Total suspended solids,3,mg/L
Lake Ontario,21,43.3,-79.12,2022-04-26,Chloride,19.9,mg/L
Lake Ontario,21,43.3,-79.12,2023-04-14,Dissolved oxygen (DO),11.56,mg/L
Lake Ontario,21,43.3,-79.12,2023-04-14,pH,8.21,None
Lake Ontario,21,43.3,-79.12,2023-04-14,Total suspended solids,1.2,mg/L
Lake Ontario,21,43.3,-79.12,2023-04-14,Chloride,26.4,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,Chloride,22.9,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,pH,8.19,None
Lake Ontario,60,43.58,-77.2,2022-04-24,pH,8.21,None
Lake Ontario,60,43.58,-77.2,2022-04-24,Chloride,22.8,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,pH,8.15,None
Lake Ontario,60,43.58,-77.2,2022-04-24,Dissolved oxygen (DO),11.45,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,Dissolved oxygen (DO),11.33,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,Chloride,22.9,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,Chloride,22.8,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,Dissolved oxygen (DO),11.48,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,pH,8.15,None
Lake Ontario,60,43.58,-77.2,2022-04-24,pH,8.14,None
Lake Ontario,60,43.58,-77.2,2022-04-24,Total suspended solids,0.1,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,Dissolved oxygen (DO),11.31,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,Dissolved oxygen (DO),11.26,mg/L
Lake Ontario,60,43.58,-77.2,2022-04-24,Chloride,22.9,mg/L
Lake Ontario,60,43.58,-77.2,2023-04-15,Chloride,23.4,mg/L
Lake Ontario,60,43.58,-77.2,2023-04-15,Dissolved oxygen (DO),11.19,mg/L
Lake Ontario,60,43.58,-77.2,2023-04-15,Total suspended solids,0.1,mg/L
Lake Ontario,60,43.58,-77.2,2023-04-15,pH,8.22,None
Lake Ontario,43,43.95,-78.05,2022-04-21,Chloride,28.1,mg/L
Lake Ontario,43,43.95,-78.05,2022-04-21,Dissolved oxygen (DO),11.55,mg/L
Lake Ontario,43,43.95,-78.05,2022-04-21,Total suspended solids,0.7,mg/L
Lake Ontario,43,43.95,-78.05,2022-04-21,pH,8.23,None
Lake Ontario,43,43.95,-78.05,2023-04-17,Dissolved oxygen (DO),11.36,mg/L
Lake Ontario,43,43.95,-78.05,2023-04-17,Chloride,26.8,mg/L
Lake Ontario,43,43.95,-78.05,2023-04-17,pH,8.28,None
Lake Ontario,43,43.95,-78.05,2023-04-17,Total suspended solids,0.6,mg/L
Lake Ontario,62,43.88,-77,2023-04-17,pH,8.24,None
