MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,ActivityStartDate,Chloride,Dissolved oxygen (DO),"Temperature, water",Total suspended solids,Turbidity,pH,WQI,Rating,DataType
1,Georgian Bay,44.718,-80.857,2022-06-06,7.462000000000001,11.258,7.5,0.2,0.09,8.078,94.98,Good,Observed
1,Georgian Bay,44.718,-80.857,2022-09-13,7.528333333333333,10.478333333333332,20.3,0.3,0.26,8.086666666666668,92.12,Good,Observed
1,Georgian Bay,44.718,-80.857,2024-09-08,7.81,10.018333333333333,19.5,0.3,0.19,8.104999999999999,94.97,Good,Observed
1,Lake Huron,43.09,-82.392,2022-05-30,8.04,10.495,11.75,0.8,0.27,8.190000000000001,94.92,Good,Observed
1,Lake Huron,43.09,-82.392,2022-09-21,8.065000000000001,8.795,21.0,0.2,0.8201206434316353,8.33,82.77,Good,Observed
1,Lake Huron,43.09,-82.392,2024-08-26,8.085,8.655,22.0,0.7,0.24,8.36,73.25,Fair,Observed
1,Lake Ontario,43.313,-79.752,2022-04-19,29.1,11.75,4.0,0.1,0.15,8.24,94.99,Good,Observed
1,Lake Ontario,43.313,-79.752,2023-04-18,25.5,11.44,4.5,0.3,0.16,8.28,94.97,Good,Observed
2,Lake Ontario,43.34,-79.665,2022-04-19,26.8,11.73,3.6,0.1,0.14,8.22,94.99,Good,Observed
2,Lake Ontario,43.34,-79.665,2023-04-13,26.3,11.06,4.0,0.2,0.17,8.24,94.98,Good,Observed
2,Lake Superior,46.543,-84.748,2024-06-08,1.57,10.9675,10.0,0.6,0.24,8.03,94.94,Good,Observed
2,Lake Superior,46.543,-84.748,2024-09-13,1.5783333333333334,10.1,18.0,0.5,0.13,7.845,94.95,Good,Observed
3,Georgian Bay,44.725,-80.617,2022-09-13,7.83,8.91,20.8,0.3,0.16,8.39,84.87,Good,Observed
3,Georgian Bay,44.725,-80.617,2024-09-09,7.79,8.81,18.5,0.5,0.21,8.25,91.98,Good,Observed
3,Lake Huron,43.257,-82.038,2022-05-31,7.73,10.13,13.0,1.0,0.32,8.23,94.9,Good,Observed
3,Lake Huron,43.257,-82.038,2022-09-21,8.13,8.8,21.0,0.7,0.28,8.36,82.74,Good,Observed
3,Lake Huron,43.257,-82.038,2024-08-28,8.03,8.81,22.0,0.6,0.2,8.36,73.57,Fair,Observed
3,Lake Ontario,43.268,-79.62,2022-04-25,26.2,11.85,5.0,0.3,0.11,8.256666666666666,94.97,Good,Observed
3,Lake Ontario,43.268,-79.62,2022-08-10,23.66,9.49,22.5,0.6,0.4,8.251999999999999,70.25,Fair,Observed
3,Lake Ontario,43.268,-79.62,2023-04-13,24.73333333333333,11.303333333333333,5.0,0.2,0.12,8.22,94.98,Good,Observed
4,Georgian Bay,44.646,-80.167,2022-06-05,7.802,10.916,12.5,0.3,0.15,8.040000000000001,94.97,Good,Observed
4,Georgian Bay,44.646,-80.167,2022-09-13,7.68,10.333333333333334,21.0,0.2,0.22,8.084999999999999,85.48,Good,Observed
4,Georgian Bay,44.646,-80.167,2024-09-09,7.924000000000001,9.648,19.0,0.4,0.16,8.074,94.08,Good,Observed
4,Lake Huron,43.325,-81.788,2022-09-21,8.15,8.81,21.0,1.1,0.41,8.4,82.72,Good,Observed
4,Lake Huron,43.325,-81.788,2024-08-28,8.08,8.9,22.0,0.8,0.34,8.37,73.74,Fair,Observed
5,Georgian Bay,44.797,-80.243,2022-09-13,7.72,9.6,21.5,0.3,0.15,8.32,79.87,Good,Observed
5,Georgian Bay,44.797,-80.243,2024-09-09,8.14,8.71,19.0,0.6,0.18,8.53,91.72,Good,Observed
5,Lake Huron,43.548,-81.745,2022-09-21,8.03,8.85,21.0,0.6,0.25,8.35,82.86,Good,Observed
5,Lake Huron,43.548,-81.745,2024-08-28,8.08,8.88,21.5,0.4,0.34,8.3,78.34,Good,Observed
5,Lake Ontario,43.425,-79.658,2022-04-19,29.1,11.81,4.8,0.2,0.14,8.22,94.98,Good,Observed
5,Lake Ontario,43.425,-79.658,2023-04-18,27.4,11.36,5.0,0.5,0.23,8.29,94.95,Good,Observed
5,Lake Superior,46.733,-84.793,2024-06-08,1.56,10.7,10.0,0.7,0.21,8.19,94.93,Good,Observed
5,Lake Superior,46.733,-84.793,2024-09-13,1.59,9.34,19.0,0.5,0.1,8.06,93.3,Good,Observed
6,Georgian Bay,44.737,-80.435,2022-06-05,7.7,10.65,8.0,-0.1,0.09,8.09,95.01,Excellent,Observed
6,Georgian Bay,44.737,-80.435,2022-09-13,7.78,8.88,21.0,0.4,0.15,8.41,82.94,Good,Observed
6,Georgian Bay,44.737,-80.435,2024-09-09,8.05,8.8,18.5,0.4,0.17,8.27,91.96,Good,Observed
6,Lake Ontario,43.467,-79.53,2022-04-19,24.1,12.08,3.6,0.1,0.12,8.22,94.99,Good,Observed
6,Lake Ontario,43.467,-79.53,2023-04-18,26.0,11.49,4.5,0.4,0.14,8.28,94.96,Good,Observed
7,Lake Huron,43.342,-82.507,2022-05-31,8.27,11.08,11.3,0.8,0.23,8.2,94.92,Good,Observed
7,Lake Huron,43.342,-82.507,2022-09-21,8.12,9.12,20.0,0.5,0.34,8.32,92.75,Good,Observed
7,Lake Huron,43.342,-82.507,2024-08-26,8.15,8.93,22.0,1.1,0.34,8.41,73.77,Fair,Observed
7,Lake Ontario,43.547,-79.488,2022-04-19,25.4,11.74,3.8,0.1,0.08,8.2,94.99,Good,Observed
7,Lake Ontario,43.547,-79.488,2023-04-18,31.2,11.33,4.8,0.3,0.18,8.24,94.97,Good,Observed
8,Georgian Bay,44.953,-80.149,2022-09-13,7.61,9.0,21.0,0.6,0.16,8.4,83.2,Good,Observed
8,Georgian Bay,44.953,-80.149,2024-09-09,8.15,8.98,18.5,0.6,0.21,8.25,92.39,Good,Observed
8,Lake Huron,43.567,-82.485,2022-05-31,8.39,10.56,11.5,0.6,0.17,8.12,94.94,Good,Observed
8,Lake Huron,43.567,-82.485,2022-09-20,8.17,8.74,21.5,0.3,0.2,8.35,78.05,Good,Observed
8,Lake Huron,43.567,-82.485,2024-08-26,8.09,8.73,22.0,0.7,0.18,8.35,73.4,Fair,Observed
8,Lake Ontario,43.623,-79.453,2022-04-20,32.7,11.465,4.8,0.1,0.12,8.25,94.99,Good,Observed
8,Lake Ontario,43.623,-79.453,2023-04-18,41.03333333333333,11.04,6.5,0.4,0.32,8.200000000000001,94.96,Good,Observed
9,Georgian Bay,44.872,-79.968,2022-06-05,10.4975,10.4475,14.5,0.5,0.21,7.9975,94.95,Good,Observed
9,Georgian Bay,44.872,-79.968,2022-09-13,8.2725,9.595,21.0,0.6,0.38,8.0925,84.53,Good,Observed
9,Georgian Bay,44.872,-79.968,2024-09-10,10.05,8.765,18.5,0.8,0.36,8.205,91.83,Good,Observed
9,Lake Huron,43.633,-82.217,2022-05-31,7.390000000000001,10.638,6.5,0.2,0.11,8.05,94.98,Good,Observed
9,Lake Huron,43.633,-82.217,2022-09-20,7.676666666666667,10.43,21.0,0.4,0.16,8.139999999999999,85.46,Good,Observed
9,Lake Huron,43.633,-82.217,2024-08-27,7.863333333333333,10.681666666666668,22.0,0.4,0.14,8.238333333333333,75.97,Good,Observed
9,Lake Ontario,43.587,-79.395,2022-04-20,26.0,11.78,4.2,0.3,0.12,8.2,94.97,Good,Observed
10,Lake Huron,43.753,-81.782,2022-09-21,8.11,8.85,21.0,0.5,0.26,8.4,82.87,Good,Observed
10,Lake Huron,43.753,-81.782,2024-08-28,8.05,8.83,21.5,0.3,0.14,8.37,78.24,Good,Observed
10,Lake Ontario,43.668,-79.267,2022-04-20,25.6,11.79,4.0,0.3,0.12,8.21,94.97,Good,Observed
10,Lake Ontario,43.668,-79.267,2023-04-18,28.2,11.35,4.5,0.4,0.21,8.23,94.96,Good,Observed
11,Georgian Bay,44.921,-80.606,2022-06-06,7.59,11.19,7.5,0.2,0.09,8.03,94.98,Good,Observed
11,Georgian Bay,44.921,-80.606,2022-09-13,7.57,8.99,20.5,0.3,0.13,8.37,87.82,Good,Observed
11,Georgian Bay,44.921,-80.606,2024-09-09,8.0,9.06,18.0,0.4,0.19,8.25,92.61,Good,Observed
11,Lake Huron,43.957,-81.787,2022-09-21,8.06,8.95,21.0,0.5,0.18,8.43,83.09,Good,Observed
11,Lake Huron,43.957,-81.787,2024-08-28,7.99,9.0,22.0,0.3,0.16,8.41,73.98,Fair,Observed
11,Lake Ontario,43.585,-79.312,2022-04-20,23.7,11.87,3.5,0.0,0.12,8.22,95.0,Excellent,Observed
11,Lake Superior,47.31,-84.658,2024-06-18,1.53,10.46,10.0,0.5,0.16,8.08,94.95,Good,Observed
11,Lake Superior,47.31,-84.658,2024-09-23,1.57,9.36,18.0,0.4,0.13,7.91,93.36,Good,Observed
12,Georgian Bay,44.92,-80.875,2022-09-13,7.62,8.99,20.5,0.3,0.18,8.37,87.82,Good,Observed
12,Georgian Bay,44.92,-80.875,2024-09-08,7.84,8.92,18.5,0.6,0.16,8.26,92.24,Good,Observed
12,Lake Huron,43.89,-82.057,2022-09-21,7.96,8.85,21.0,0.3,0.15,8.36,82.89,Good,Observed
12,Lake Huron,43.89,-82.057,2024-08-30,8.02,8.96,21.5,0.3,0.12,8.33,78.51,Good,Observed
12,Lake Ontario,43.503,-79.353,2022-04-25,23.18,11.724,4.8,0.2,0.13,8.190000000000001,94.98,Good,Observed
12,Lake Ontario,43.503,-79.353,2022-08-12,23.32,10.78,19.5,1.0,0.29,8.234,94.9,Good,Observed
12,Lake Superior,47.037,-85.103,2024-06-08,1.57,10.76,6.5,0.6,0.14,8.27,94.94,Good,Observed
12,Lake Superior,47.037,-85.103,2024-09-13,1.58,9.46,17.0,0.4,0.13,8.01,93.61,Good,Observed
13,Lake Huron,43.753,-82.568,2022-05-31,8.5,11.06,11.5,0.5,0.22,8.22,94.95,Good,Observed
13,Lake Huron,43.753,-82.568,2022-09-20,8.12,8.83,21.0,0.5,0.22,8.35,82.82,Good,Observed
13,Lake Huron,43.753,-82.568,2024-08-27,8.15,8.95,22.5,0.6,0.19,8.38,69.24,Fair,Observed
13,Lake Ontario,43.417,-79.4,2022-04-25,23.1,11.57,5.0,0.1,0.11,8.15,94.99,Good,Observed
