MonitoringLocationName,MonitoringLocationID,ActivityType,ActivityMediaName,ActivityStartDate,CharacteristicName,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType
Lake Ontario,35,Sample-Routine,Surface Water,2022-04-26,Dissolved oxygen (DO),,11.55,mg/L,Actual
Lake Ontario,35,Sample-Routine,Surface Water,2022-04-26,pH,,8.2,None,Actual
Lake Ontario,35,Sample-Routine,Surface Water,2022-04-26,Chloride,Dissolved,23.6,mg/L,Actual
Lake Ontario,35,Sample-Routine,Surface Water,2023-04-14,Dissolved oxygen (DO),,12.18,mg/L,Actual
Lake Ontario,35,Sample-Routine,Surface Water,2023-04-14,Chloride,Dissolved,17.8,mg/L,Actual
Lake Ontario,35,Sample-Routine,Surface Water,2023-04-14,pH,,8.17,None,Actual
Lake Erie,965,Sample-Routine,Surface Water,2022-08-19,pH,,8.58,None,Actual
Lake Erie,965,Sample-Routine,Surface Water,2022-08-19,Chloride,Dissolved,15.7,mg/L,Actual
Lake Erie,965,Sample-Routine,Surface Water,2022-08-19,Dissolved oxygen (DO),,8.78,mg/L,Actual
Lake Erie,965,Sample-Routine,Surface Water,2023-05-16,pH,,8.65,None,Actual
Lake Erie,965,Sample-Routine,Surface Water,2023-05-16,Dissolved oxygen (DO),,11.26,mg/L,Actual
Lake Erie,965,Sample-Routine,Surface Water,2023-05-16,Chloride,Dissolved,20.9,mg/L,Actual
Lake Erie,965,Sample-Routine,Surface Water,2024-08-13,Dissolved oxygen (DO),,9.1,mg/L,Actual
Lake Erie,965,Sample-Routine,Surface Water,2024-08-13,Chloride,Dissolved,14.7,mg/L,Actual
Lake Erie,965,Sample-Routine,Surface Water,2024-08-13,Chloride,Dissolved,14.7,mg/L,Actual
Lake Erie,965,Sample-Routine,Surface Water,2024-08-13,pH,,8.63,None,Actual
Lake Erie,965,Sample-Routine,Surface Water,2024-08-13,pH,,8.57,None,Actual
Lake Erie,965,Sample-Routine,Surface Water,2024-08-13,Dissolved oxygen (DO),,8.99,mg/L,Actual
Lake Erie,445,Sample-Routine,Surface Water,2022-08-15,Dissolved oxygen (DO),,8.57,mg/L,Actual
Lake Erie,445,Sample-Routine,Surface Water,2022-08-15,Chloride,Dissolved,16.3,mg/L,Actual
Lake Erie,445,Sample-Routine,Surface Water,2022-08-15,pH,,8.46,None,Actual
Lake Erie,445,Sample-Routine,Surface Water,2023-05-11,Chloride,Dissolved,17.9,mg/L,Actual
Lake Erie,445,Sample-Routine,Surface Water,2023-05-11,pH,,8.33,None,Actual
Lake Erie,445,Sample-Routine,Surface Water,2023-05-11,Dissolved oxygen (DO),,11.01,mg/L,Actual
Lake Erie,445,Sample-Routine,Surface Water,2024-08-21,pH,,8.4,None,Actual
Lake Erie,445,Sample-Routine,Surface Water,2024-08-21,Dissolved oxygen (DO),,8.11,mg/L,Actual
Lake Erie,445,Sample-Routine,Surface Water,2024-08-21,Chloride,Dissolved,15.5,mg/L,Actual
Lake Huron,83,Sample-Routine,Surface Water,2022-09-15,Chloride,Dissolved,6.03,mg/L,Actual
Lake Huron,83,Sample-Routine,Surface Water,2022-06-04,pH,,8.08,None,Actual
Lake Huron,83,Sample-Routine,Surface Water,2022-09-15,pH,,8.28,None,Actual
Lake Huron,83,Sample-Routine,Surface Water,2022-06-04,Dissolved oxygen (DO),,11.31,mg/L,Actual
Lake Huron,83,Sample-Routine,Surface Water,2022-09-15,Dissolved oxygen (DO),,9.01,mg/L,Actual
Lake Huron,83,Sample-Routine,Surface Water,2022-06-04,Chloride,Dissolved,6.03,mg/L,Actual
Lake Huron,83,Sample-Routine,Surface Water,2024-09-06,Chloride,Dissolved,6.22,mg/L,Actual
Lake Huron,83,Sample-Routine,Surface Water,2024-09-06,pH,,8.14,None,Actual
Lake Huron,83,Sample-Routine,Surface Water,2024-09-06,Dissolved oxygen (DO),,9.3,mg/L,Actual
Lake Ontario,29,Sample-Routine,Surface Water,2022-04-20,Chloride,Dissolved,27.7,mg/L,Actual
Lake Ontario,29,Sample-Routine,Surface Water,2022-04-20,Dissolved oxygen (DO),,11.44,mg/L,Actual
Lake Ontario,29,Sample-Routine,Surface Water,2022-04-20,pH,,8.25,None,Actual
Lake Erie,971,Sample-Routine,Surface Water,2022-08-20,pH,,8.64,None,Actual
Lake Erie,971,Sample-Routine,Surface Water,2022-08-20,Dissolved oxygen (DO),,8.81,mg/L,Actual
Lake Erie,971,Sample-Routine,Surface Water,2022-08-20,Chloride,Dissolved,9.99,mg/L,Actual
Lake Erie,971,Sample-Routine,Surface Water,2023-05-16,Dissolved oxygen (DO),,10.1,mg/L,Actual
Lake Erie,971,Sample-Routine,Surface Water,2023-05-16,Chloride,Dissolved,14,mg/L,Actual
Lake Erie,971,Sample-Routine,Surface Water,2023-05-16,pH,,8.39,None,Actual
Lake Erie,971,Sample-Routine,Surface Water,2024-08-14,pH,,8.62,None,Actual
Lake Erie,971,Sample-Routine,Surface Water,2024-08-14,Chloride,Dissolved,11.5,mg/L,Actual
Lake Erie,971,Sample-Routine,Surface Water,2024-08-14,Dissolved oxygen (DO),,8.75,mg/L,Actual
Lake Erie,971,Sample-Routine,Surface Water,2024-04-17,Chloride,Dissolved,8.84,mg/L,Actual
Lake Ontario,21,Sample-Routine,Surface Water,2022-04-26,pH,,8.22,None,Actual
Lake Ontario,21,Sample-Routine,Surface Water,2022-04-26,Dissolved oxygen (DO),,12.11,mg/L,Actual
Lake Ontario,21,Sample-Routine,Surface Water,2022-04-26,Chloride,Dissolved,19.9,mg/L,Actual
Lake Ontario,21,Sample-Routine,Surface Water,2023-04-14,Dissolved oxygen (DO),,11.56,mg/L,Actual
Lake Ontario,21,Sample-Routine,Surface Water,2023-04-14,pH,,8.21,None,Actual
Lake Ontario,21,Sample-Routine,Surface Water,2023-04-14,Chloride,Dissolved,26.4,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Chloride,Dissolved,22.9,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,pH,,8.19,None,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,pH,,8.21,None,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Chloride,Dissolved,22.8,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,pH,,8.15,None,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Dissolved oxygen (DO),,11.45,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Dissolved oxygen (DO),,11.33,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Chloride,Dissolved,22.9,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Chloride,Dissolved,22.8,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Dissolved oxygen (DO),,11.48,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,pH,,8.15,None,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,pH,,8.14,None,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Dissolved oxygen (DO),,11.31,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Dissolved oxygen (DO),,11.26,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Chloride,Dissolved,22.9,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2023-04-15,Chloride,Dissolved,23.4,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2023-04-15,Dissolved oxygen (DO),,11.19,mg/L,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2023-04-15,pH,,8.22,None,Actual
Lake Ontario,43,Sample-Routine,Surface Water,2022-04-21,Chloride,Dissolved,28.1,mg/L,Actual
Lake Ontario,43,Sample-Routine,Surface Water,2022-04-21,Dissolved oxygen (DO),,11.55,mg/L,Actual
Lake Ontario,43,Sample-Routine,Surface Water,2022-04-21,pH,,8.23,None,Actual
Lake Ontario,43,Sample-Routine,Surface Water,2023-04-17,Dissolved oxygen (DO),,11.36,mg/L,Actual
Lake Ontario,43,Sample-Routine,Surface Water,2023-04-17,Chloride,Dissolved,26.8,mg/L,Actual
Lake Ontario,43,Sample-Routine,Surface Water,2023-04-17,pH,,8.28,None,Actual
Lake Ontario,62,Sample-Routine,Surface Water,2023-04-17,pH,,8.24,None,Actual
Lake Ontario,62,Sample-Routine,Surface Water,2023-04-17,Dissolved oxygen (DO),,11.71,mg/L,Actual
Lake Ontario,62,Sample-Routine,Surface Water,2023-04-17,Chloride,Dissolved,23.3,mg/L,Actual
Lake Huron,89,Sample-Routine,Surface Water,2022-09-15,Dissolved oxygen (DO),,8.91,mg/L,Actual
Lake Huron,89,Sample-Routine,Surface Water,2022-09-15,Chloride,Dissolved,5.96,mg/L,Actual
Lake Huron,89,Sample-Routine,Surface Water,2022-09-15,pH,,8.32,None,Actual
Lake Huron,89,Sample-Routine,Surface Water,2024-09-06,pH,,8.21,None,Actual
Lake Huron,89,Sample-Routine,Surface Water,2024-09-06,Dissolved oxygen (DO),,9.28,mg/L,Actual
Lake Huron,89,Sample-Routine,Surface Water,2024-09-06,Chloride,Dissolved,6.3,mg/L,Actual
Lake Ontario,47,Sample-Routine,Surface Water,2022-04-22,Dissolved oxygen (DO),,11.53,mg/L,Actual
Lake Ontario,47,Sample-Routine,Surface Water,2022-04-22,pH,,8.22,None,Actual
Lake Ontario,47,Sample-Routine,Surface Water,2022-04-22,Chloride,Dissolved,25.1,mg/L,Actual
Lake Ontario,47,Sample-Routine,Surface Water,2023-04-17,Chloride,Dissolved,24.9,mg/L,Actual
Lake Ontario,47,Sample-Routine,Surface Water,2023-04-17,Dissolved oxygen (DO),,11.21,mg/L,Actual
Lake Ontario,47,Sample-Routine,Surface Water,2023-04-17,pH,,8.26,None,Actual
Lake Huron,76,Sample-Routine,Surface Water,2022-09-15,Dissolved oxygen (DO),,9.11,mg/L,Actual
Lake Huron,76,Sample-Routine,Surface Water,2022-09-15,pH,,8.27,None,Actual
Lake Huron,76,Sample-Routine,Surface Water,2022-09-15,Chloride,Dissolved,5.55,mg/L,Actual
Lake Huron,76,Sample-Routine,Surface Water,2024-09-06,pH,,8.14,None,Actual
Lake Huron,76,Sample-Routine,Surface Water,2024-09-06,Chloride,Dissolved,5.8,mg/L,Actual
Lake Huron,76,Sample-Routine,Surface Water,2024-09-06,Dissolved oxygen (DO),,9.25,mg/L,Actual
Lake Ontario,42,Sample-Routine,Surface Water,2022-04-21,pH,,8.19,None,Actual
Lake Ontario,42,Sample-Routine,Surface Water,2022-04-21,Dissolved oxygen (DO),,11.49,mg/L,Actual
Lake Ontario,42,Sample-Routine,Surface Water,2022-04-21,Chloride,Dissolved,24,mg/L,Actual
Lake Ontario,42,Sample-Routine,Surface Water,2023-04-17,pH,,8.27,None,Actual
Lake Ontario,42,Sample-Routine,Surface Water,2023-04-17,Chloride,Dissolved,23.5,mg/L,Actual
Lake Ontario,42,Sample-Routine,Surface Water,2023-04-17,Dissolved oxygen (DO),,11.36,mg/L,Actual
Georgian Bay,12,Sample-Routine,Surface Water,2022-09-13,Chloride,Dissolved,7.62,mg/L,Actual
Georgian Bay,12,Sample-Routine,Surface Water,2022-09-13,pH,,8.37,None,Actual
Georgian Bay,12,Sample-Routine,Surface Water,2022-09-13,Dissolved oxygen (DO),,8.99,mg/L,Actual
Georgian Bay,12,Sample-Routine,Surface Water,2024-09-08,pH,,8.26,None,Actual
Georgian Bay,12,Sample-Routine,Surface Water,2024-09-08,Dissolved oxygen (DO),,8.92,mg/L,Actual
Georgian Bay,12,Sample-Routine,Surface Water,2024-09-08,Chloride,Dissolved,7.84,mg/L,Actual
Lake Superior,115,Sample-Routine,Surface Water,2024-09-15,Dissolved oxygen (DO),,9.95,mg/L,Actual
Lake Superior,115,Sample-Routine,Surface Water,2024-09-15,pH,,7.93,None,Actual
Lake Superior,115,Sample-Routine,Surface Water,2024-09-15,Chloride,Dissolved,1.57,mg/L,Actual
Lake Huron,13,Sample-Routine,Surface Water,2022-09-20,Chloride,Dissolved,8.12,mg/L,Actual
Lake Huron,13,Sample-Routine,Surface Water,2022-09-20,Dissolved oxygen (DO),,8.83,mg/L,Actual
Lake Huron,13,Sample-Routine,Surface Water,2022-09-20,pH,,8.35,None,Actual
Lake Huron,13,Sample-Routine,Surface Water,2022-05-31,Chloride,Dissolved,8.5,mg/L,Actual
Lake Huron,13,Sample-Routine,Surface Water,2022-05-31,Dissolved oxygen (DO),,11.06,mg/L,Actual
Lake Huron,13,Sample-Routine,Surface Water,2022-05-31,pH,,8.22,None,Actual
Lake Huron,13,Sample-Routine,Surface Water,2024-08-27,Dissolved oxygen (DO),,8.95,mg/L,Actual
Lake Huron,13,Sample-Routine,Surface Water,2024-08-27,pH,,8.38,None,Actual
Lake Huron,13,Sample-Routine,Surface Water,2024-08-27,Chloride,Dissolved,8.15,mg/L,Actual
Lake Ontario,27,Sample-Routine,Surface Water,2022-04-20,Chloride,Dissolved,23.1,mg/L,Actual
Lake Ontario,27,Sample-Routine,Surface Water,2022-04-20,Dissolved oxygen (DO),,11.71,mg/L,Actual
Lake Ontario,27,Sample-Routine,Surface Water,2022-04-20,pH,,8.16,None,Actual
Lake Ontario,75,Sample-Routine,Surface Water,2022-04-23,Dissolved oxygen (DO),,11.19,mg/L,Actual
Lake Ontario,75,Sample-Routine,Surface Water,2022-04-23,Chloride,Dissolved,23,mg/L,Actual
Lake Ontario,75,Sample-Routine,Surface Water,2022-04-23,pH,,8.11,None,Actual
Lake Ontario,75,Sample-Routine,Surface Water,2023-04-16,Dissolved oxygen (DO),,11.48,mg/L,Actual
