MonitoringLocationName,MonitoringLocationID,ActivityType,ActivityMediaName,ActivityStartDate,CharacteristicName,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType
Lake Ontario,35,Sample-Routine,Surface Water,2022-04-26,Turbidity,,0.35,NTU,Actual
Lake Ontario,35,Sample-Routine,Surface Water,2023-04-14,Turbidity,,2.93,NTU,Actual
Lake Erie,965,Sample-Routine,Surface Water,2022-08-19,Turbidity,,1.01,NTU,Actual
Lake Erie,965,Sample-Routine,Surface Water,2023-05-16,Turbidity,,4.63,NTU,Actual
Lake Erie,965,Sample-Routine,Surface Water,2024-08-13,Turbidity,,2.69,NTU,Actual
Lake Erie,965,Sample-Routine,Surface Water,2024-08-13,Turbidity,,2.43,NTU,Actual
Lake Erie,445,Sample-Routine,Surface Water,2022-08-15,Turbidity,,0.24,NTU,Actual
Lake Erie,445,Sample-Routine,Surface Water,2023-05-11,Turbidity,,0.75,NTU,Actual
Lake Erie,445,Sample-Routine,Surface Water,2024-08-21,Turbidity,,0.46,NTU,Actual
Lake Huron,83,Sample-Routine,Surface Water,2022-06-04,Turbidity,,0.14,NTU,Actual
Lake Huron,83,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.35,NTU,Actual
Lake Huron,83,Sample-Routine,Surface Water,2024-09-06,Turbidity,,0.19,NTU,Actual
Lake Ontario,29,Sample-Routine,Surface Water,2022-04-20,Turbidity,,0.17,NTU,Actual
Lake Erie,971,Sample-Routine,Surface Water,2022-08-20,Turbidity,,1.68,NTU,Actual
Lake Erie,971,Sample-Routine,Surface Water,2023-05-16,Turbidity,,4.53,NTU,Actual
Lake Erie,971,Sample-Routine,Surface Water,2024-08-14,Turbidity,,1.94,NTU,Actual
Lake Erie,971,Sample-Routine,Surface Water,2024-04-17,Turbidity,,8.03,NTU,Actual
Lake Ontario,21,Sample-Routine,Surface Water,2022-04-26,Turbidity,,2.08,NTU,Actual
Lake Ontario,21,Sample-Routine,Surface Water,2023-04-14,Turbidity,,1.7,NTU,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.1,NTU,Actual
Lake Ontario,60,Sample-Routine,Surface Water,2023-04-15,Turbidity,,0.17,NTU,Actual
Lake Ontario,43,Sample-Routine,Surface Water,2022-04-21,Turbidity,,0.35,NTU,Actual
Lake Ontario,43,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.43,NTU,Actual
Lake Ontario,62,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.22,NTU,Actual
Lake Huron,89,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.42,NTU,Actual
Lake Huron,89,Sample-Routine,Surface Water,2024-09-06,Turbidity,,0.34,NTU,Actual
Lake Ontario,47,Sample-Routine,Surface Water,2022-04-22,Turbidity,,0.13,NTU,Actual
Lake Ontario,47,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.22,NTU,Actual
Lake Huron,76,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.26,NTU,Actual
Lake Huron,76,Sample-Routine,Surface Water,2024-09-06,Turbidity,,0.19,NTU,Actual
Lake Ontario,42,Sample-Routine,Surface Water,2022-04-21,Turbidity,,0.08,NTU,Actual
Lake Ontario,42,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.13,NTU,Actual
Georgian Bay,12,Sample-Routine,Surface Water,2022-09-13,Turbidity,,0.18,NTU,Actual
Georgian Bay,12,Sample-Routine,Surface Water,2024-09-08,Turbidity,,0.16,NTU,Actual
Lake Superior,115,Sample-Routine,Surface Water,2024-09-15,Turbidity,,0.13,NTU,Actual
Lake Huron,13,Sample-Routine,Surface Water,2022-05-31,Turbidity,,0.22,NTU,Actual
Lake Huron,13,Sample-Routine,Surface Water,2022-09-20,Turbidity,,0.22,NTU,Actual
Lake Huron,13,Sample-Routine,Surface Water,2024-08-27,Turbidity,,0.19,NTU,Actual
Lake Ontario,27,Sample-Routine,Surface Water,2022-04-20,Turbidity,,0.1,NTU,Actual
Lake Ontario,75,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.39,NTU,Actual
Lake Ontario,75,Sample-Routine,Surface Water,2023-04-16,Turbidity,,1.17,NTU,Actual
Georgian Bay,1,Sample-Routine,Surface Water,2022-09-13,Turbidity,,0.26,NTU,Actual
Georgian Bay,1,Sample-Routine,Surface Water,2022-06-06,Turbidity,,0.09,NTU,Actual
Georgian Bay,1,Sample-Routine,Surface Water,2024-09-08,Turbidity,,0.19,NTU,Actual
Lake Huron,12,Sample-Routine,Surface Water,2022-09-21,Turbidity,,0.15,NTU,Actual
Lake Huron,12,Sample-Routine,Surface Water,2024-08-30,Turbidity,,0.12,NTU,Actual
Lake Superior,212,Sample-Routine,Surface Water,2024-06-12,Turbidity,,4.24,NTU,Actual
Lake Superior,212,Sample-Routine,Surface Water,2024-06-12,Turbidity,,6.18,NTU,Actual
Lake Superior,212,Sample-Routine,Surface Water,2024-09-18,Turbidity,,0.14,NTU,Actual
Lake Erie,888,Sample-Routine,Surface Water,2022-08-18,Turbidity,,0.39,NTU,Actual
Lake Erie,888,Sample-Routine,Surface Water,2023-05-19,Turbidity,,0.86,NTU,Actual
Lake Erie,888,Sample-Routine,Surface Water,2024-04-18,Turbidity,,1.66,NTU,Actual
Lake Erie,888,Sample-Routine,Surface Water,2024-08-23,Turbidity,,0.6,NTU,Actual
Lake Erie,941,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.48,NTU,Actual
Lake Erie,941,Sample-Routine,Surface Water,2023-05-09,Turbidity,,1.26,NTU,Actual
Lake Erie,941,Sample-Routine,Surface Water,2024-08-22,Turbidity,,0.31,NTU,Actual
Lake Huron,48,Sample-Routine,Surface Water,2022-06-07,Turbidity,,0.08,NTU,Actual
Lake Huron,48,Sample-Routine,Surface Water,2022-09-18,Turbidity,,0.1,NTU,Actual
Lake Huron,48,Sample-Routine,Surface Water,2024-08-29,Turbidity,,0.1,NTU,Actual
Lake Huron,5,Sample-Routine,Surface Water,2022-09-21,Turbidity,,0.25,NTU,Actual
Lake Huron,5,Sample-Routine,Surface Water,2024-08-28,Turbidity,,0.34,NTU,Actual
Lake Ontario,58,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.14,NTU,Actual
Lake Ontario,58,Sample-Routine,Surface Water,2023-04-15,Turbidity,,0.12,NTU,Actual
Lake Huron,84,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.33,NTU,Actual
Lake Huron,84,Sample-Routine,Surface Water,2022-06-04,Turbidity,,0.17,NTU,Actual
Lake Huron,84,Sample-Routine,Surface Water,2024-09-05,Turbidity,,0.19,NTU,Actual
Lake Superior,189,Sample-Routine,Surface Water,2024-09-17,Turbidity,,0.13,NTU,Actual
Lake Superior,189,Sample-Routine,Surface Water,2024-06-11,Turbidity,,0.12,NTU,Actual
Lake Erie,950,Sample-Routine,Surface Water,2022-08-17,Turbidity,,1.6,NTU,Actual
Lake Erie,950,Sample-Routine,Surface Water,2023-05-11,Turbidity,,3.12,NTU,Actual
Lake Huron,23,Sample-Routine,Surface Water,2022-09-19,Turbidity,,0.37,NTU,Actual
Lake Huron,23,Sample-Routine,Surface Water,2022-06-01,Turbidity,,0.15,NTU,Actual
Lake Huron,23,Sample-Routine,Surface Water,2024-08-27,Turbidity,,0.35,NTU,Actual
